,taxa 1,taxa 2,taxa 3,taxa 4,taxa 5,taxa 6,taxa 7,taxa 8,taxa 9,taxa 10,taxa 11,taxa 12,taxa 13,taxa 14,taxa 15,taxa 16,taxa 17,taxa 18,taxa 19,taxa 20,taxa 21,taxa 22,taxa 23,taxa 24,taxa 25,taxa 26,taxa 27,taxa 28,taxa 29,taxa 30,taxa 31,taxa 32,taxa 33,taxa 34,taxa 35,taxa 36,taxa 37,taxa 38,taxa 39,taxa 40,taxa 41,taxa 42,taxa 43,taxa 44,taxa 45,taxa 46,taxa 47,taxa 48,taxa 49,taxa 50,taxa 51,taxa 52,taxa 53,taxa 54,taxa 55,taxa 56,taxa 57,taxa 58,taxa 59,taxa 60,taxa 61,taxa 62,taxa 63,taxa 64,taxa 65,taxa 66,taxa 67,taxa 68,taxa 69,taxa 70,taxa 71,taxa 72,taxa 73,taxa 74,taxa 75,taxa 76,taxa 77,taxa 78,taxa 79,taxa 80,taxa 81,taxa 82,taxa 83,taxa 84,taxa 85,taxa 86,taxa 87,taxa 88,taxa 89,taxa 90,taxa 91,taxa 92
sample 90,91,63,61,0,0,491,71,480,0,2093,0,27,13,0,61,9,6,0,0,37,0,53,0,25,0,0,0,0,0,0,15,14,0,0,36,26,0,0,0,0,0,0,0,12,0,0,0,0,9,0,0,8,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,14,0,0,0,0,0,0
sample 91,6,181,62,0,6,173,97,229,15,583,0,56,0,10,28,16,10,0,0,85,0,65,0,244,0,13,0,0,27,8,62,8,0,4,17,20,0,0,0,0,39,0,0,23,0,9,0,0,32,0,0,154,0,0,5,0,13,113,0,0,0,0,0,0,0,30,0,0,0,0,0,6,0,0,0,0,3,10,0,0,0,4,0,0,0,0,0,6,0,0,0,0
sample 92,37,1202,267,0,294,134,118,61,519,1094,0,113,0,63,163,10,23,0,0,0,0,57,0,30,0,58,0,0,26,21,0,22,55,59,30,137,0,0,0,10,0,13,0,0,0,0,0,0,28,13,0,41,0,0,0,0,0,0,0,0,0,0,0,0,2,12,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
sample 93,6,1256,471,6,15,59,385,160,6,654,0,171,0,452,166,9,63,0,0,0,0,67,0,64,0,119,0,0,56,0,28,0,114,42,100,213,0,9,0,0,4,0,0,0,0,7,0,12,38,45,0,0,0,0,6,0,13,31,0,0,0,0,0,0,20,0,0,26,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,6,0,0,0,0,0,0,0,0
sample 94,10,2463,536,0,5,572,350,154,68,1489,0,351,11,501,174,25,28,0,0,0,0,241,0,321,0,33,0,0,102,11,47,7,0,10,98,376,0,0,0,18,0,0,0,0,0,9,0,43,9,114,0,0,0,0,0,0,0,51,0,0,0,0,0,0,22,0,0,2,3,0,0,0,0,0,0,0,0,11,7,0,0,5,0,0,0,0,0,0,0,0,0,0
sample 95,26,241,78,0,0,183,1036,0,39,7,0,0,262,94,96,68,0,0,0,0,0,10,0,6,0,0,0,0,6,4,11,169,0,16,54,68,0,0,0,7,0,0,20,0,0,0,0,13,12,0,0,6,19,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0
sample 96,6,3950,178,0,0,0,398,53,177,8,0,11,35,50,32,70,0,0,0,0,0,106,0,0,0,9,0,0,0,0,26,35,0,21,36,14,0,0,0,0,0,0,22,0,0,17,0,17,7,0,0,84,0,0,0,0,0,0,0,0,0,13,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
sample 97,0,1857,59,0,0,8,107,72,106,13,0,15,59,172,42,40,6,0,0,12,0,22,0,22,0,154,0,0,0,0,0,53,125,0,83,11,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample 98,712,5268,1163,0,1813,155,101,1212,0,4,27,79,0,181,237,71,234,0,0,0,0,0,61,235,0,0,0,0,62,0,0,0,0,0,375,0,0,419,0,70,276,19,110,0,0,33,0,0,0,5,18,0,0,0,0,0,104,167,0,0,0,0,0,13,0,0,0,95,7,0,0,0,0,0,0,0,0,0,0,62,0,7,0,18,0,0,0,0,0,0,0,0
sample 99,7,1345,106,0,2,2,58,60,5,378,115,8,0,10,27,4,2,0,0,680,0,0,0,6,0,31,0,0,0,0,9,3,41,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
