,taxa 1,taxa 2,taxa 3,taxa 4,taxa 5,taxa 6,taxa 7,taxa 8,taxa 9,taxa 10,taxa 11,taxa 12,taxa 13,taxa 14,taxa 15,taxa 16,taxa 17,taxa 18,taxa 19,taxa 20,taxa 21,taxa 22,taxa 23,taxa 24,taxa 25,taxa 26,taxa 27,taxa 28,taxa 29,taxa 30,taxa 31,taxa 32,taxa 33,taxa 34,taxa 35,taxa 36,taxa 37,taxa 38,taxa 39,taxa 40,taxa 41,taxa 42,taxa 43,taxa 44,taxa 45,taxa 46,taxa 47,taxa 48,taxa 49,taxa 50,taxa 51,taxa 52,taxa 53,taxa 54,taxa 55,taxa 56,taxa 57,taxa 58,taxa 59,taxa 60,taxa 61,taxa 62,taxa 63,taxa 64,taxa 65,taxa 66,taxa 67,taxa 68,taxa 69,taxa 70,taxa 71,taxa 72,taxa 73,taxa 74,taxa 75,taxa 76,taxa 77,taxa 78,taxa 79,taxa 80,taxa 81,taxa 82,taxa 83,taxa 84,taxa 85,taxa 86,taxa 87,taxa 88,taxa 89,taxa 90,taxa 91,taxa 92
sample 38,9.0,600.0,477.0,0.0,3328.0,1322.0,0.0,2197.0,538.0,0.0,0.0,0.0,0.0,508.0,82.0,64.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,65.0,533.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,79.0,0.0,0.0,29.0,50.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sample 39,15.0,4661.0,172.0,5.0,2836.0,0.0,54.0,69.0,26.0,0.0,0.0,0.0,0.0,18.0,5.0,43.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,59.0,29.0,0.0,0.0,0.0,13.0,3.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,28.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sample 40,55.0,1219.0,72.0,18.0,604.0,15.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,24.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,46.0,0.0,0.0,13.0,24.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sample 41,9.0,13.0,175.0,0.0,20.0,107.0,111.0,240.0,1574.0,0.0,0.0,15.0,0.0,4.0,0.0,13.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sample 42,2.0,5.0,26.0,0.0,0.0,8.0,62.0,40.0,2160.0,3.0,0.0,17.0,0.0,0.0,0.0,8.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sample 43,6.0,30.0,377.0,0.0,18.0,570.0,380.0,728.0,4576.0,0.0,0.0,66.0,0.0,10.0,0.0,16.0,9.0,0.0,0.0,0.0,0.0,32.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,15.0,0.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
sample 44,374.0,3007.0,248.0,7.0,932.0,24.0,94.0,220.0,52.0,886.0,0.0,81.0,0.0,12.0,51.0,61.0,77.0,0.0,0.0,0.0,0.0,239.0,0.0,147.0,0.0,8.0,0.0,0.0,48.0,0.0,119.0,0.0,0.0,58.0,34.0,0.0,0.0,0.0,10.0,7.0,0.0,0.0,878.0,0.0,0.0,101.0,0.0,7.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,10.0,0.0,116.0,2.0,0.0,0.0,59.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,13.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,5.0
sample 45,871.0,943.0,218.0,153.0,901.0,53.0,35.0,166.0,2.0,1491.0,7.0,176.0,2.0,50.0,278.0,29.0,36.0,0.0,0.0,0.0,0.0,58.0,9.0,228.0,0.0,0.0,0.0,0.0,814.0,8.0,425.0,16.0,0.0,56.0,107.0,7.0,9.0,55.0,0.0,18.0,0.0,0.0,204.0,0.0,0.0,11.0,0.0,15.0,0.0,0.0,0.0,31.0,6.0,0.0,0.0,17.0,0.0,302.0,12.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sample 46,101.0,848.0,69.0,27.0,44.0,37.0,47.0,55.0,3.0,243.0,0.0,13.0,9.0,29.0,53.0,13.0,0.0,0.0,32.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,21.0,0.0,0.0,6.0,14.0,20.0,11.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,11.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
sample 47,16.0,1812.0,326.0,0.0,59.0,410.0,0.0,2356.0,100.0,49.0,0.0,35.0,0.0,126.0,185.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,0.0,0.0,0.0,0.0,41.0,215.0,0.0,45.0,0.0,50.0,0.0,0.0,0.0,225.0,0.0,10.0,13.0,0.0,321.0,0.0,0.0,16.0,0.0,0.0,0.0,308.0,40.0,0.0,0.0,0.0,0.0,0.0,13.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,287.0,20.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
